"Aaden"	["Red Sox", 53, 23]
"Aaliyah"	["Red Sox", 43, 32]
"Aarav"	["Red Sox", 47, 29]
"Aaron"	["Cardinals", 27, 38]
"Abbie"	["Cardinals", 26, 36]
"Abbigail"	["Red Sox", 40, 32]
"Abby"	["Red Sox", 50, 29]
"Abdiel"	["Cardinals", 24, 68]
"Abdullah"	["Red Sox", 60, 28]
"Abel"	["Red Sox", 42, 39]
"Abigail"	["Cardinals", 30, 54]
"Abraham"	["Red Sox", 53, 28]
"Abram"	["Cardinals", 31, 39]
"Abrielle"	["Red Sox", 57, 30]
"Abril"	["Red Sox", 45, 29]
"Ace"	["Red Sox", 48, 35]
"Ada"	["Cardinals", 32, 39]
"Adalyn"	["Red Sox", 45, 37]
"Adalynn"	["Red Sox", 60, 29]
"Adam"	["Red Sox", 61, 30]
"Adan"	["Cardinals", 30, 42]
"Addilyn"	["Red Sox", 55, 30]
"Addison"	["Cardinals", 23, 66]
"Addisyn"	["Red Sox", 44, 25]
"Addyson"	["Red Sox", 49, 27]
"Adelaide"	["Cardinals", 28, 40]
"Adele"	["Cardinals", 40, 50]
"Adelina"	["Red Sox", 63, 32]
"Adeline"	["Red Sox", 48, 38]
"Adelyn"	["Red Sox", 54, 29]
"Adelynn"	["Cardinals", 29, 54]
"Aden"	["Red Sox", 58, 31]
"Aditya"	["Red Sox", 45, 32]
"Adley"	["Cardinals", 21, 66]
"Adonis"	["Cardinals", 41, 48]
"Adrian"	["Cardinals", 31, 55]
"Adriana"	["Red Sox", 50, 38]
"Adrianna"	["Red Sox", 44, 33]
"Adriel"	["Cardinals", 25, 43]
"Adrien"	["Cardinals", 31, 54]
"Adrienne"	["Cardinals", 30, 53]
"Agustin"	["Cardinals", 30, 46]
"Ahmad"	["Red Sox", 46, 26]
"Ahmed"	["Cardinals", 29, 55]
"Aidan"	["Red Sox", 47, 25]
"Aiden"	["Cardinals", 33, 48]
"Aidyn"	["Cardinals", 33, 51]
"Aileen"	["Cardinals", 19, 49]
"Aimee"	["Cardinals", 25, 51]
"Ainsley"	["Cardinals", 39, 52]
"Aisha"	["Cardinals", 24, 55]
"Aiyana"	["Cardinals", 21, 51]
"Akira"	["Red Sox", 52, 31]
"Alaina"	["Cardinals", 40, 48]
"Alan"	["Cardinals", 39, 47]
"Alana"	["Cardinals", 31, 46]
"Alani"	["Red Sox", 47, 30]
"Alanna"	["Cardinals", 41, 53]
"Alannah"	["Red Sox", 62, 20]
"Alaya"	["Cardinals", 27, 64]
"Alayah"	["Cardinals", 28, 42]
"Alayna"	["Red Sox", 56, 36]
"Alaysia"	["Red Sox", 50, 27]
"Albert"	["Cardinals", 17, 56]
"Alberto"	["Red Sox", 59, 32]
"Alden"	["Cardinals", 30, 46]
"Aldo"	["Red Sox", 47, 32]
"Aleah"	["Cardinals", 29, 52]
"Alec"	["Red Sox", 58, 26]
"Aleena"	["Cardinals", 42, 49]
"Aleigha"	["Cardinals", 36, 44]
"Alejandra"	["Red Sox", 54, 19]
"Alejandro"	["Red Sox", 52, 23]
"Alena"	["Cardinals", 32, 44]
"Alessandra"	["Red Sox", 46, 30]
"Alessandro"	["Cardinals", 38, 43]
"Alex"	["Red Sox", 40, 27]
"Alexa"	["Red Sox", 56, 31]
"Alexander"	["Cardinals", 22, 52]
"Alexandra"	["Cardinals", 20, 54]
"Alexandria"	["Red Sox", 52, 27]
"Alexia"	["Cardinals", 22, 58]
"Alexis"	["Cardinals", 29, 46]
"Alexzander"	["Red Sox", 38, 34]
"Alfonso"	["Red Sox", 57, 37]
"Alfred"	["Cardinals", 25, 42]
"Alfredo"	["Cardinals", 31, 57]
"Ali"	["Red Sox", 31, 31]
"Alia"	["Red Sox", 63, 20]
"Aliana"	["Cardinals", 21, 60]
"Alice"	["Cardinals", 26, 44]
"Alicia"	["Red Sox", 53, 28]
"Alijah"	["Cardinals", 33, 44]
"Alina"	["Red Sox", 55, 23]
"Alisa"	["Cardinals", 34, 50]
"Alisha"	["Cardinals", 32, 46]
"Alison"	["Red Sox", 50, 30]
"Alissa"	["Cardinals", 28, 45]
"Alisson"	["Red Sox", 32, 29]
"Alivia"	["Cardinals", 27, 56]
"Aliya"	["Cardinals", 29, 52]
"Aliyah"	["Red Sox", 51, 31]
"Aliza"	["Red Sox", 50, 35]
"Allan"	["Cardinals", 25, 54]
"Allen"	["Red Sox", 47, 28]
"Allie"	["Cardinals", 32, 52]
"Allison"	["Red Sox", 47, 33]
"Ally"	["Red Sox", 50, 32]
"Allyson"	["Red Sox", 48, 34]
"Alma"	["Cardinals", 31, 39]
"Alondra"	["Cardinals", 30, 59]
"Alonso"	["Red Sox", 50, 29]
"Alonzo"	["Red Sox", 47, 24]
"Alvaro"	["Cardinals", 30, 51]
"Alvin"	["Cardinals", 19, 55]
"Alyson"	["Cardinals", 30, 60]
"Alyssa"	["Red Sox", 50, 30]
"Alyvia"	["Red Sox", 53, 32]
"Amanda"	["Red Sox", 52, 23]
"Amani"	["Red Sox", 49, 29]
"Amara"	["Cardinals", 35, 52]
"Amare"	["Red Sox", 39, 27]
